S 1111
W 43983 25
R 43983 25
W 17815 1
R 17815 1
W 4416 19
R 4416 19
W 5143 1
R 5143 1
W 37793 5
R 37793 5
W 33420 29
R 33420 29
W 37203 31
R 37203 31
W 114 15
R 114 15
W 23531 22
R 23531 22
W 52080 6
R 52080 6
W 20723 5
R 20723 5
W 42374 8
R 42374 8
W 39047 10
R 39047 10
W 45471 4
R 45471 4
W 31221 28
R 31221 28
W 23677 2
R 23677 2
W 78 16
R 78 16
W 5273 23
R 5273 23
W 47227 29
R 47227 29
W 48851 5
R 48851 5
W 52811 19
R 52811 19
W 14408 10
R 14408 10
W 42069 18
R 42069 18
W 7944 21
R 7944 21
W 13990 10
R 13990 10
W 7935 14
R 7935 14
W 50152 19
R 50152 19
W 39447 1
R 39447 1
W 17891 26
R 17891 26
W 21729 15
R 21729 15
W 23371 30
R 23371 30
W 1437 8
R 1437 8
W 13172 18
R 13172 18
W 19752 12
R 19752 12
W 8935 18
R 8935 18
W 22540 13
R 22540 13
W 27995 14
R 27995 14
W 28881 21
R 28881 21
W 51471 11
R 51471 11
W 4593 6
R 4593 6
W 31314 1
R 31314 1
W 26448 3
R 26448 3
W 54646 6
R 54646 6
W 47787 12
R 47787 12
W 19741 2
R 19741 2
W 47923 18
R 47923 18
W 41195 8
R 41195 8
W 1027 9
R 1027 9
W 47879 19
R 47879 19
W 79 4
R 79 4
W 15655 4
R 15655 4
W 53024 11
R 53024 11
W 51375 5
R 51375 5
W 48178 13
R 48178 13
W 53195 8
R 53195 8
W 37237 2
R 37237 2
W 48916 3
R 48916 3
W 43096 25
R 43096 25
W 47660 2
R 47660 2
W 45028 3
R 45028 3
W 37520 28
R 37520 28
W 53170 30
R 53170 30
W 19432 11
R 19432 11
W 10203 24
R 10203 24
W 9441 26
R 9441 26
W 50397 4
R 50397 4
W 24709 9
R 24709 9
W 3210 8
R 3210 8
W 54255 9
R 54255 9
W 47859 25
R 47859 25
W 30432 4
R 30432 4
W 11735 23
R 11735 23
W 17709 26
R 17709 26
W 51838 9
R 51838 9
W 22835 19
R 22835 19
W 9891 24
R 9891 24
W 1402 29
R 1402 29
W 7999 13
R 7999 13
W 51723 26
R 51723 26
W 14417 5
R 14417 5
W 20292 31
R 20292 31
W 12532 11
R 12532 11
W 37164 15
R 37164 15
W 47357 18
R 47357 18
W 50746 7
R 50746 7
W 26837 6
R 26837 6
W 49241 1
R 49241 1
W 29454 12
R 29454 12
W 27868 11
R 27868 11
W 1248 18
R 1248 18
W 38896 31
R 38896 31
W 37331 8
R 37331 8
W 8665 28
R 8665 28
W 52941 4
R 52941 4
W 55340 23
R 55340 23
W 39632 8
R 39632 8
W 9293 11
R 9293 11
W 46905 29
R 46905 29
W 2370 3
R 2370 3
W 14996 14
R 14996 14
W 9256 23
R 9256 23
W 52375 14
R 52375 14
W 14869 12
R 14869 12
W 2568 16
R 2568 16
W 32050 14
R 32050 14
W 19714 15
R 19714 15
W 6764 9
R 6764 9
W 45709 6
R 45709 6
W 28648 10
R 28648 10
W 2089 25
R 2089 25
W 34936 14
R 34936 14
W 28549 21
R 28549 21
W 28349 15
R 28349 15
W 16958 13
R 16958 13
W 46837 28
R 46837 28
W 10108 21
R 10108 21
W 8251 13
R 8251 13
W 49055 7
R 49055 7
W 21432 24
R 21432 24
W 41283 13
R 41283 13
W 47248 19
R 47248 19
W 42509 15
R 42509 15
W 44314 16
R 44314 16
W 53058 30
R 53058 30
W 55796 29
R 55796 29
W 25879 22
R 25879 22
W 31333 21
R 31333 21
W 53042 31
R 53042 31
W 7002 25
R 7002 25
W 24866 17
R 24866 17
W 36419 5
R 36419 5
W 44397 3
R 44397 3
W 23729 5
R 23729 5
W 43216 6
R 43216 6
W 14004 26
R 14004 26
W 16725 1
R 16725 1
W 22616 9
R 22616 9
W 41537 6
R 41537 6
W 24573 2
R 24573 2
W 629 14
R 629 14
W 26864 24
R 26864 24
W 40030 5
R 40030 5
W 7208 11
R 7208 11
W 52344 14
R 52344 14
W 40194 14
R 40194 14
W 51666 18
R 51666 18
W 30265 3
R 30265 3
W 47556 31
R 47556 31
W 1100 26
R 1100 26
W 33621 2
R 33621 2
W 52391 20
R 52391 20
W 2629 30
R 2629 30
W 52236 15
R 52236 15
W 10866 19
R 10866 19
W 7690 5
R 7690 5
W 34299 14
R 34299 14
W 29811 30
R 29811 30
W 19024 9
R 19024 9
W 44522 18
R 44522 18
W 43037 8
R 43037 8
W 17507 19
R 17507 19
W 30258 16
R 30258 16
W 2352 12
R 2352 12
W 36232 25
R 36232 25
W 37515 17
R 37515 17
W 2173 20
R 2173 20
W 54663 29
R 54663 29
W 42034 28
R 42034 28
W 40776 21
R 40776 21
W 52637 28
R 52637 28
W 56203 11
R 56203 11
W 17485 19
R 17485 19
W 30193 22
R 30193 22
W 153 16
R 153 16
W 34150 13
R 34150 13
W 28360 8
R 28360 8
W 6822 15
R 6822 15
W 33894 18
R 33894 18
W 54513 2
R 54513 2
W 53587 29
R 53587 29
W 17099 7
R 17099 7
W 1710 18
R 1710 18
W 52370 2
R 52370 2
W 55782 11
R 55782 11
W 22916 26
R 22916 26
W 10541 11
R 10541 11
W 6939 11
R 6939 11
W 42253 13
R 42253 13
W 48152 20
R 48152 20
W 46312 9
R 46312 9
W 20061 18
R 20061 18
W 11080 30
R 11080 30
W 2219 4
R 2219 4
W 19674 25
R 19674 25
W 49565 26
R 49565 26
W 25880 19
R 25880 19
W 55293 4
R 55293 4
W 23739 31
R 23739 31
W 46759 18
R 46759 18
W 20585 23
R 20585 23
W 48676 15
R 48676 15
W 25915 14
R 25915 14
W 42770 27
R 42770 27
W 27211 23
R 27211 23
W 45039 21
R 45039 21
W 1193 12
R 1193 12
W 25317 15
R 25317 15
W 18256 5
R 18256 5
W 49055 25
R 49055 25
W 18733 19
R 18733 19
W 37463 16
R 37463 16
W 50597 17
R 50597 17
W 55820 10
R 55820 10
W 20195 22
R 20195 22
W 14593 21
R 14593 21
W 49376 3
R 49376 3
W 55523 8
R 55523 8
W 4196 24
R 4196 24
W 12388 8
R 12388 8
W 17184 14
R 17184 14
W 39395 16
R 39395 16
W 56992 30
R 56992 30
W 22458 2
R 22458 2
W 18521 12
R 18521 12
W 39450 31
R 39450 31
W 55446 11
R 55446 11
W 8139 6
R 8139 6
W 46789 1
R 46789 1
W 49307 7
R 49307 7
W 35468 6
R 35468 6
W 34037 30
R 34037 30
W 12481 29
R 12481 29
W 29063 21
R 29063 21
W 15822 5
R 15822 5
W 31700 6
R 31700 6
W 33344 21
R 33344 21
W 51383 7
R 51383 7
W 12928 15
R 12928 15
W 34513 20
R 34513 20
W 22474 1
R 22474 1
W 52319 23
R 52319 23
W 19805 3
R 19805 3
W 52891 5
R 52891 5
W 1539 7
R 1539 7
W 2507 22
R 2507 22
W 51410 8
R 51410 8
W 56315 19
R 56315 19
W 11416 21
R 11416 21
W 6840 26
R 6840 26
W 3950 1
R 3950 1
W 52052 7
R 52052 7
W 52293 16
R 52293 16
W 4751 6
R 4751 6
W 46204 20
R 46204 20
W 22943 25
R 22943 25
W 39499 13
R 39499 13
W 23719 31
R 23719 31
W 12841 11
R 12841 11
W 52171 15
R 52171 15
W 55929 14
R 55929 14
W 43195 27
R 43195 27
W 25686 18
R 25686 18
W 48351 23
R 48351 23
W 4665 18
R 4665 18
W 56149 28
R 56149 28
W 36389 13
R 36389 13
W 29526 5
R 29526 5
W 31413 15
R 31413 15
W 14639 25
R 14639 25
W 8005 2
R 8005 2
W 15224 20
R 15224 20
W 47309 1
R 47309 1
W 41273 25
R 41273 25
W 50019 20
R 50019 20
W 8995 21
R 8995 21
W 25242 9
R 25242 9
W 33064 18
R 33064 18
W 28821 26
R 28821 26
W 14302 1
R 14302 1
W 13728 22
R 13728 22
W 17525 27
R 17525 27
W 55773 27
R 55773 27
W 56879 28
R 56879 28
W 15792 5
R 15792 5
W 33731 10
R 33731 10
W 43565 6
R 43565 6
W 5766 17
R 5766 17
W 22364 16
R 22364 16
W 28144 10
R 28144 10
W 9411 14
R 9411 14
W 47259 3
R 47259 3
W 23794 13
R 23794 13
W 11853 14
R 11853 14
W 30668 26
R 30668 26
W 4181 16
R 4181 16
W 31071 6
R 31071 6
W 12593 14
R 12593 14
W 3222 4
R 3222 4
W 34766 7
R 34766 7
W 18110 26
R 18110 26
W 34620 10
R 34620 10
W 43725 11
R 43725 11
W 21477 1
R 21477 1
W 5505 1
R 5505 1
W 7400 27
R 7400 27
W 21225 5
R 21225 5
W 33185 30
R 33185 30
W 53064 13
R 53064 13
W 23906 19
R 23906 19
W 54809 21
R 54809 21
W 46208 19
R 46208 19
W 33410 9
R 33410 9
W 41652 24
R 41652 24
W 5393 6
R 5393 6
W 55646 17
R 55646 17
W 22036 13
R 22036 13
W 3259 29
R 3259 29
W 56924 17
R 56924 17
W 8971 13
R 8971 13
W 17014 2
R 17014 2
W 20001 27
R 20001 27
W 46455 1
R 46455 1
W 9531 18
R 9531 18
W 16304 4
R 16304 4
W 3027 16
R 3027 16
W 45141 3
R 45141 3
W 34114 15
R 34114 15
W 42500 31
R 42500 31
W 49647 20
R 49647 20
W 29305 4
R 29305 4
W 46821 3
R 46821 3
W 7144 28
R 7144 28
W 2415 4
R 2415 4
W 17472 26
R 17472 26
W 11810 28
R 11810 28
W 11373 22
R 11373 22
W 48151 31
R 48151 31
W 11270 14
R 11270 14
W 34468 2
R 34468 2
W 17392 18
R 17392 18
W 33153 6
R 33153 6
W 13003 15
R 13003 15
W 10013 29
R 10013 29
W 20154 25
R 20154 25
W 21477 15
R 21477 15
W 33883 18
R 33883 18
W 43457 10
R 43457 10
W 52842 15
R 52842 15
W 47752 23
R 47752 23
W 32682 29
R 32682 29
W 31074 3
R 31074 3
W 25839 6
R 25839 6
W 36349 7
R 36349 7
W 14027 14
R 14027 14
W 48300 1
R 48300 1
W 42777 20
R 42777 20
W 20226 20
R 20226 20
W 25841 23
R 25841 23
W 45749 13
R 45749 13
W 16172 31
R 16172 31
W 38111 12
R 38111 12
W 12645 11
R 12645 11
W 25547 27
R 25547 27
W 45521 1
R 45521 1
W 4730 30
R 4730 30
W 9982 3
R 9982 3
W 56724 12
R 56724 12
W 41301 29
R 41301 29
W 48355 25
R 48355 25
W 41010 22
R 41010 22
W 13021 7
R 13021 7
W 55229 26
R 55229 26
W 16689 10
R 16689 10
W 47102 9
R 47102 9
W 4185 31
R 4185 31
W 55936 14
R 55936 14
W 47794 19
R 47794 19
W 50138 28
R 50138 28
W 2997 13
R 2997 13
W 23761 28
R 23761 28
W 42791 22
R 42791 22
W 35340 7
R 35340 7
W 53181 3
R 53181 3
W 12364 19
R 12364 19
W 9090 9
R 9090 9
W 17967 16
R 17967 16
W 6091 15
R 6091 15
W 47166 7
R 47166 7
W 31386 25
R 31386 25
W 11490 11
R 11490 11
W 26472 18
R 26472 18
W 12333 1
R 12333 1
W 4936 14
R 4936 14
W 16536 16
R 16536 16
W 18866 24
R 18866 24
W 7468 2
R 7468 2
W 312 9
R 312 9
W 38293 14
R 38293 14
W 4762 6
R 4762 6
W 23957 3
R 23957 3
W 30305 6
R 30305 6
W 27772 28
R 27772 28
W 49585 26
R 49585 26
W 50984 9
R 50984 9
W 29943 15
R 29943 15
W 51008 9
R 51008 9
W 47980 7
R 47980 7
W 56954 2
R 56954 2
W 43892 5
R 43892 5
W 44465 10
R 44465 10
W 48251 29
R 48251 29
W 1536 8
R 1536 8
W 29206 15
R 29206 15
W 28329 15
R 28329 15
W 16760 18
R 16760 18
W 31437 31
R 31437 31
W 28675 1
R 28675 1
W 26117 10
R 26117 10
W 3075 27
R 3075 27
W 36353 10
R 36353 10
W 311 1
R 311 1
W 15706 6
R 15706 6
W 19630 23
R 19630 23
W 35672 22
R 35672 22
W 31462 22
R 31462 22
W 11592 21
R 11592 21
W 9191 7
R 9191 7
W 46357 23
R 46357 23
W 36575 15
R 36575 15
W 6830 5
R 6830 5
W 53244 19
R 53244 19
W 43056 24
R 43056 24
W 31940 28
R 31940 28
W 37301 12
R 37301 12
W 7010 13
R 7010 13
W 51651 28
R 51651 28
W 38135 5
R 38135 5
W 47420 17
R 47420 17
W 17138 5
R 17138 5
W 55751 19
R 55751 19
W 32158 2
R 32158 2
W 46394 14
R 46394 14
W 6744 2
R 6744 2
W 14211 26
R 14211 26
W 44557 7
R 44557 7
W 39310 16
R 39310 16
W 51117 31
R 51117 31
W 56841 11
R 56841 11
W 12275 5
R 12275 5
W 44346 14
R 44346 14
W 44916 7
R 44916 7
W 18414 27
R 18414 27
W 32282 8
R 32282 8
W 9744 3
R 9744 3
W 17855 14
R 17855 14
W 32485 5
R 32485 5
W 9959 28
R 9959 28
W 25827 21
R 25827 21
W 48750 19
R 48750 19
W 43639 11
R 43639 11
W 52888 10
R 52888 10
W 19076 15
R 19076 15
W 34244 1
R 34244 1
W 6840 3
R 6840 3
W 47180 9
R 47180 9
W 269 18
R 269 18
W 16111 22
R 16111 22
W 35884 21
R 35884 21
W 27174 21
R 27174 21
W 32278 8
R 32278 8
W 45588 12
R 45588 12
W 29507 14
R 29507 14
W 12570 26
R 12570 26
W 55867 1
R 55867 1
W 29837 17
R 29837 17
W 39939 3
R 39939 3
W 51383 3
R 51383 3
W 6507 2
R 6507 2
W 3861 4
R 3861 4
W 9267 4
R 9267 4
W 48149 17
R 48149 17
W 12067 24
R 12067 24
W 28219 29
R 28219 29
W 38926 3
R 38926 3
W 36236 4
R 36236 4
W 26696 17
R 26696 17
W 4895 17
R 4895 17
W 6300 20
R 6300 20
W 46002 31
R 46002 31
W 13249 21
R 13249 21
W 30601 26
R 30601 26
W 43876 7
R 43876 7
W 38475 5
R 38475 5
W 44732 29
R 44732 29
W 47347 8
R 47347 8
W 27843 18
R 27843 18
W 55343 17
R 55343 17
W 20493 29
R 20493 29
W 22325 21
R 22325 21
W 7885 30
R 7885 30
W 56895 5
R 56895 5
W 9315 5
R 9315 5
W 25248 11
R 25248 11
W 13719 28
R 13719 28
W 12247 6
R 12247 6
W 32401 24
R 32401 24
W 6428 7
R 6428 7
W 1953 28
R 1953 28
W 52934 3
R 52934 3
W 21705 16
R 21705 16
W 43341 19
R 43341 19
W 56514 1
R 56514 1
W 15730 8
R 15730 8
W 2024 13
R 2024 13
W 13547 24
R 13547 24
W 31081 15
R 31081 15
W 36298 21
R 36298 21
W 9353 13
R 9353 13
W 56012 8
R 56012 8
W 18109 9
R 18109 9
W 33657 26
R 33657 26
W 37379 13
R 37379 13
W 53060 27
R 53060 27
W 19454 9
R 19454 9
W 28675 27
R 28675 27
W 17860 5
R 17860 5
W 16979 20
R 16979 20
W 39629 13
R 39629 13
W 20310 29
R 20310 29
W 5228 20
R 5228 20
W 43370 3
R 43370 3
W 30573 11
R 30573 11
W 19362 19
R 19362 19
W 18335 21
R 18335 21
W 46615 31
R 46615 31
W 12561 6
R 12561 6
W 13226 26
R 13226 26
W 54823 22
R 54823 22
W 23738 20
R 23738 20
W 49401 18
R 49401 18
W 33516 19
R 33516 19
W 1549 26
R 1549 26
W 18756 25
R 18756 25
W 9476 1
R 9476 1
W 17296 29
R 17296 29
W 7388 6
R 7388 6
W 42822 18
R 42822 18
W 9263 19
R 9263 19
W 12352 6
R 12352 6
W 6487 27
R 6487 27
W 47658 4
R 47658 4
W 16360 26
R 16360 26
W 52606 12
R 52606 12
W 4292 16
R 4292 16
W 6196 12
R 6196 12
W 5877 10
R 5877 10
W 6267 21
R 6267 21
W 24671 5
R 24671 5
W 32221 6
R 32221 6
W 47705 1
R 47705 1
W 48852 19
R 48852 19
W 36457 1
R 36457 1
W 27519 19
R 27519 19
W 22787 6
R 22787 6
W 56935 25
R 56935 25
W 25111 25
R 25111 25
W 31940 29
R 31940 29
W 34406 21
R 34406 21
W 38927 3
R 38927 3
W 29818 5
R 29818 5
W 35048 4
R 35048 4
W 27492 12
R 27492 12
W 26737 16
R 26737 16
W 41762 5
R 41762 5
W 28967 16
R 28967 16
W 42941 23
R 42941 23
W 21681 6
R 21681 6
W 38421 6
R 38421 6
W 2238 7
R 2238 7
W 15344 13
R 15344 13
W 24948 10
R 24948 10
W 32695 21
R 32695 21
W 16391 23
R 16391 23
W 10362 13
R 10362 13
W 48456 12
R 48456 12
W 43097 7
R 43097 7
W 51299 29
R 51299 29
W 51091 5
R 51091 5
W 49025 29
R 49025 29
W 14115 31
R 14115 31
W 2096 7
R 2096 7
W 24739 16
R 24739 16
W 5382 11
R 5382 11
W 7443 1
R 7443 1
W 1489 29
R 1489 29
W 1258 12
R 1258 12
W 55051 15
R 55051 15
W 17789 13
R 17789 13
W 43711 8
R 43711 8
W 3880 30
R 3880 30
W 43755 6
R 43755 6
W 44599 29
R 44599 29
W 43839 20
R 43839 20
W 50211 13
R 50211 13
W 127 7
R 127 7
W 39784 29
R 39784 29
W 47655 2
R 47655 2
W 17809 21
R 17809 21
W 4803 29
R 4803 29
W 3314 25
R 3314 25
W 31656 30
R 31656 30
W 24538 1
R 24538 1
W 30334 2
R 30334 2
W 27077 17
R 27077 17
W 54095 2
R 54095 2
W 35140 26
R 35140 26
W 12398 17
R 12398 17
W 20873 8
R 20873 8
W 44357 23
R 44357 23
W 18029 19
R 18029 19
W 12531 29
R 12531 29
W 30324 8
R 30324 8
W 56800 25
R 56800 25
W 47687 7
R 47687 7
W 57002 16
R 57002 16
W 51513 16
R 51513 16
W 47383 31
R 47383 31
W 44293 24
R 44293 24
W 52843 24
R 52843 24
W 20691 8
R 20691 8
W 44983 24
R 44983 24
W 24566 29
R 24566 29
W 12691 22
R 12691 22
W 31699 12
R 31699 12
W 42796 21
R 42796 21
W 19613 6
R 19613 6
W 33814 12
R 33814 12
W 41785 15
R 41785 15
W 32534 5
R 32534 5
W 21146 23
R 21146 23
W 17594 16
R 17594 16
W 55314 29
R 55314 29
W 25831 18
R 25831 18
W 11623 14
R 11623 14
W 56289 31
R 56289 31
W 46349 1
R 46349 1
W 22609 18
R 22609 18
W 27582 28
R 27582 28
W 42627 31
R 42627 31
W 10429 18
R 10429 18
W 35281 4
R 35281 4
W 1486 7
R 1486 7
W 22635 31
R 22635 31
W 28638 15
R 28638 15
W 9863 9
R 9863 9
W 21826 20
R 21826 20
W 56908 9
R 56908 9
W 26899 7
R 26899 7
W 53868 7
R 53868 7
W 22149 3
R 22149 3
W 5300 6
R 5300 6
W 23014 23
R 23014 23
W 16534 31
R 16534 31
W 38634 29
R 38634 29
W 36149 21
R 36149 21
W 5320 16
R 5320 16
W 13569 2
R 13569 2
W 9454 5
R 9454 5
W 41885 9
R 41885 9
W 17646 1
R 17646 1
W 22340 24
R 22340 24
W 21863 6
R 21863 6
W 42884 3
R 42884 3
W 22723 25
R 22723 25
W 13557 28
R 13557 28
W 18494 9
R 18494 9
W 47836 29
R 47836 29
W 30383 20
R 30383 20
W 18376 15
R 18376 15
W 49804 24
R 49804 24
W 44353 28
R 44353 28
W 44035 28
R 44035 28
W 53739 26
R 53739 26
W 20399 26
R 20399 26
W 26045 16
R 26045 16
W 24493 16
R 24493 16
W 3789 12
R 3789 12
W 4754 9
R 4754 9
W 21391 29
R 21391 29
W 12354 20
R 12354 20
W 55967 27
R 55967 27
W 37421 22
R 37421 22
W 6820 26
R 6820 26
W 37101 18
R 37101 18
W 5751 23
R 5751 23
W 5993 12
R 5993 12
W 10958 14
R 10958 14
W 42491 16
R 42491 16
W 37982 5
R 37982 5
W 29249 9
R 29249 9
W 35400 5
R 35400 5
W 46878 26
R 46878 26
W 26371 9
R 26371 9
W 12136 26
R 12136 26
W 5382 31
R 5382 31
W 8982 28
R 8982 28
W 55339 11
R 55339 11
W 42272 17
R 42272 17
W 48673 24
R 48673 24
W 13628 11
R 13628 11
W 43399 11
R 43399 11
W 30800 3
R 30800 3
W 53266 26
R 53266 26
W 53518 30
R 53518 30
W 13303 26
R 13303 26
W 24205 14
R 24205 14
W 5439 26
R 5439 26
W 14165 10
R 14165 10
W 57179 6
R 57179 6
W 5845 7
R 5845 7
W 42600 16
R 42600 16
W 1031 30
R 1031 30
W 53039 17
R 53039 17
W 20834 26
R 20834 26
W 57142 16
R 57142 16
W 25064 23
R 25064 23
W 37700 25
R 37700 25
W 32019 15
R 32019 15
W 6277 8
R 6277 8
W 51143 11
R 51143 11
W 37233 17
R 37233 17
W 51899 29
R 51899 29
W 23551 30
R 23551 30
W 8947 10
R 8947 10
W 18638 8
R 18638 8
W 12221 7
R 12221 7
W 21427 16
R 21427 16
W 19913 14
R 19913 14
W 31980 16
R 31980 16
W 45107 7
R 45107 7
W 9674 9
R 9674 9
W 9440 22
R 9440 22
W 52309 20
R 52309 20
W 7269 16
R 7269 16
W 53268 16
R 53268 16
W 12630 27
R 12630 27
W 10881 16
R 10881 16
W 10294 6
R 10294 6
W 56866 25
R 56866 25
W 33243 16
R 33243 16
W 25841 28
R 25841 28
W 54823 22
R 54823 22
W 42333 23
R 42333 23
W 56200 9
R 56200 9
W 49949 5
R 49949 5
W 40556 2
R 40556 2
W 40407 10
R 40407 10
W 41462 12
R 41462 12
W 25919 25
R 25919 25
W 28422 18
R 28422 18
W 41607 17
R 41607 17
W 46809 4
R 46809 4
W 31854 2
R 31854 2
W 13193 13
R 13193 13
W 2617 22
R 2617 22
W 24961 25
R 24961 25
W 26365 15
R 26365 15
W 2000 25
R 2000 25
W 31642 12
R 31642 12
W 11939 8
R 11939 8
W 28435 13
R 28435 13
W 26526 29
R 26526 29
W 36955 28
R 36955 28
W 38679 13
R 38679 13
W 51183 30
R 51183 30
W 10990 26
R 10990 26
W 34426 10
R 34426 10
W 14207 14
R 14207 14
W 41175 5
R 41175 5
W 15737 4
R 15737 4
W 8301 19
R 8301 19
W 55868 10
R 55868 10
W 54947 7
R 54947 7
W 29636 3
R 29636 3
W 42340 31
R 42340 31
W 53492 2
R 53492 2
W 20343 17
R 20343 17
W 16738 30
R 16738 30
W 16935 2
R 16935 2
W 46445 1
R 46445 1
W 48792 9
R 48792 9
W 29838 12
R 29838 12
W 49698 23
R 49698 23
W 18427 27
R 18427 27
W 5910 19
R 5910 19
W 52747 21
R 52747 21
W 9326 24
R 9326 24
W 24301 4
R 24301 4
W 43603 28
R 43603 28
W 36175 14
R 36175 14
W 21784 14
R 21784 14
W 33838 6
R 33838 6
W 38615 10
R 38615 10
W 42082 9
R 42082 9
W 32267 12
R 32267 12
W 49941 8
R 49941 8
W 23082 1
R 23082 1
W 33205 4
R 33205 4
W 50097 11
R 50097 11
W 24390 16
R 24390 16
W 12068 24
R 12068 24
W 53834 31
R 53834 31
W 5528 1
R 5528 1
W 20133 10
R 20133 10
W 9192 4
R 9192 4
W 4002 21
R 4002 21
W 14904 5
R 14904 5
W 7568 13
R 7568 13
W 14690 29
R 14690 29
W 35342 22
R 35342 22
W 7105 28
R 7105 28
W 46096 26
R 46096 26
W 33991 14
R 33991 14
W 29239 19
R 29239 19
W 57206 24
R 57206 24
W 17215 18
R 17215 18
W 7887 5
R 7887 5
W 25133 30
R 25133 30
W 18112 15
R 18112 15
W 46163 28
R 46163 28
W 36039 29
R 36039 29
W 41896 2
R 41896 2
W 14279 10
R 14279 10
W 30735 11
R 30735 11
W 25386 5
R 25386 5
W 2198 13
R 2198 13
W 20288 27
R 20288 27
W 46294 27
R 46294 27
W 4715 3
R 4715 3
W 15487 29
R 15487 29
W 55436 14
R 55436 14
W 8316 10
R 8316 10
W 30023 28
R 30023 28
W 11203 18
R 11203 18
W 13180 12
R 13180 12
W 1711 26
R 1711 26
W 41997 29
R 41997 29
W 26434 6
R 26434 6
W 27536 8
R 27536 8
W 19709 12
R 19709 12
W 49518 14
R 49518 14
W 11686 9
R 11686 9
W 53817 31
R 53817 31
W 1206 13
R 1206 13
W 10635 14
R 10635 14
W 54918 27
R 54918 27
W 49396 22
R 49396 22
W 6514 10
R 6514 10
W 31147 9
R 31147 9
W 4675 25
R 4675 25
W 9549 6
R 9549 6
W 19818 24
R 19818 24
W 41803 13
R 41803 13
W 42286 7
R 42286 7
W 37886 11
R 37886 11
W 40342 28
R 40342 28
W 18366 9
R 18366 9
W 34332 30
R 34332 30
W 44474 6
R 44474 6
W 7835 7
R 7835 7
W 52232 17
R 52232 17
W 55644 13
R 55644 13
W 11299 31
R 11299 31
W 49977 21
R 49977 21
W 14340 15
R 14340 15
W 21238 23
R 21238 23
W 44655 31
R 44655 31
W 1707 20
R 1707 20
W 21774 8
R 21774 8
W 16534 27
R 16534 27
W 48644 9
R 48644 9
W 15993 8
R 15993 8
W 43369 27
R 43369 27
W 8121 20
R 8121 20
W 20328 11
R 20328 11
W 20072 18
R 20072 18
W 13174 21
R 13174 21
W 43117 1
R 43117 1
W 6803 16
R 6803 16
W 50537 26
R 50537 26
W 16675 1
R 16675 1
W 28649 17
R 28649 17
W 39104 30
R 39104 30
W 8525 7
R 8525 7
W 17006 28
R 17006 28
W 46811 22
R 46811 22
W 16399 23
R 16399 23
W 50741 18
R 50741 18
W 47594 29
R 47594 29
W 24732 16
R 24732 16
W 1091 28
R 1091 28
W 17602 2
R 17602 2
W 54985 26
R 54985 26
W 14164 4
R 14164 4
W 22742 20
R 22742 20
W 9204 7
R 9204 7
W 5404 16
R 5404 16
W 18828 16
R 18828 16
W 2673 25
R 2673 25
W 39851 16
R 39851 16
W 44220 20
R 44220 20
W 3410 21
R 3410 21
W 26587 1
R 26587 1
W 54852 24
R 54852 24
W 39285 9
R 39285 9
W 11031 4
R 11031 4
W 1510 3
R 1510 3
W 38259 17
R 38259 17
W 15625 2
R 15625 2
W 44556 5
R 44556 5
W 51588 19
R 51588 19
W 4057 5
R 4057 5
W 26077 1
R 26077 1
W 35965 10
R 35965 10
W 42046 7
R 42046 7
W 32046 8
R 32046 8
W 39599 30
R 39599 30
W 24006 31
R 24006 31
W 24071 31
R 24071 31
W 9295 23
R 9295 23
W 27371 28
R 27371 28
W 38197 6
R 38197 6
W 40768 26
R 40768 26
W 11649 25
R 11649 25
W 5999 10
R 5999 10
W 21033 12
R 21033 12
W 36237 9
R 36237 9
W 57236 26
R 57236 26
W 39784 1
R 39784 1
W 25528 28
R 25528 28
W 37946 27
R 37946 27
W 37025 29
R 37025 29
W 27494 30
R 27494 30
W 12660 19
R 12660 19
W 8818 16
R 8818 16
W 49386 2
R 49386 2
W 34090 1
R 34090 1
W 48687 9
R 48687 9
W 32968 28
R 32968 28
W 49332 18
R 49332 18
W 42813 29
R 42813 29
W 31019 31
R 31019 31
W 29920 11
R 29920 11
W 18484 11
R 18484 11
W 50384 24
R 50384 24
W 20464 16
R 20464 16
W 27859 8
R 27859 8
W 42997 11
R 42997 11
W 52985 5
R 52985 5
W 33191 3
R 33191 3
W 12077 9
R 12077 9
W 24264 30
R 24264 30
W 39088 9
R 39088 9
W 39106 31
R 39106 31
W 2215 5
R 2215 5
W 45488 10
R 45488 10
W 44116 12
R 44116 12
W 1198 4
R 1198 4
W 41882 29
R 41882 29
W 20861 1
R 20861 1
W 55503 18
R 55503 18
W 373 8
R 373 8
W 33279 24
R 33279 24
W 7643 30
R 7643 30
W 33492 16
R 33492 16
W 16995 13
R 16995 13
W 531 31
R 531 31
W 9817 27
R 9817 27
W 40483 14
R 40483 14
W 46140 11
R 46140 11
W 14482 10
R 14482 10
W 22191 16
R 22191 16
W 45255 25
R 45255 25
W 1563 9
R 1563 9
W 34880 31
R 34880 31
W 56524 11
R 56524 11
W 47366 21
R 47366 21
W 34481 8
R 34481 8
W 34732 31
R 34732 31
W 44029 7
R 44029 7
W 17423 2
R 17423 2
W 48257 4
R 48257 4
W 28555 28
R 28555 28
W 41190 7
R 41190 7
W 41463 23
R 41463 23
W 46201 23
R 46201 23
W 47887 5
R 47887 5
W 49008 18
R 49008 18
W 9861 25
R 9861 25
W 56 18
R 56 18
W 56611 31
R 56611 31
